group,n,diff
1,4,-0.02602267265319802
1,4,-0.02602267265319802
1,11,-0.02601695060729892
1,3,-0.02598929405212402
1,14,-0.02593016624450595
1,5,-0.0259264707565301
1,6,-0.0258818864822381
1,16,-0.02577257156372004
1,13,-0.02576470375060991
1,19,-0.02570247650146396
1,28,-0.02561604976654008
1,3,-0.0255352258682251
1,4,-0.02550208568572998
1,4,-0.02550208568572998
1,9,-0.02547502517700196
1,8,-0.02539741992950395
1,4,-0.02528643608093195
1,4,-0.02528643608093195
1,11,-0.02526843547821
1,5,-0.02523195743560791
1,16,-0.02507054805755593
1,4,-0.02504503726959206
1,4,-0.02504503726959206
1,6,-0.02504253387451105
1,3,-0.02503705024719194
1,3,-0.02503705024719194
1,3,-0.02503705024719194
1,3,-0.02503705024719194
1,3,-0.02503705024719194
1,5,-0.02497196197509699
1,3,-0.024952173233032
1,8,-0.02494955062866211
1,9,-0.02473771572112993
1,14,-0.02472305297851496
1,10,-0.02465283870697
1,4,-0.02461981773376399
1,6,-0.02441513538360596
1,10,-0.02432334423065097
1,7,-0.02415406703948908
1,6,-0.024136781692504
1,8,-0.0241003036499019
1,8,-0.0241003036499019
1,7,-0.02405560016631992
1,6,-0.02361524105072
1,7,-0.02356302738189697
1,11,-0.02355897426605202
1,14,-0.02347481250762895
1,6,-0.02341568470001198
1,7,-0.02340114116668701
1,7,-0.02321135997772194
1,7,-0.02321135997772194
1,16,-0.02309894561767489
1,12,-0.0230355262756341
1,5,-0.0229184627532959
1,5,-0.0229184627532959
1,4,-0.02290010452270508
1,12,-0.02285349369049006
1,4,-0.02276706695556596
1,4,-0.02267885208129794
1,4,-0.02266526222229004
1,9,-0.022538781166076
1,18,-0.02247703075408891
1,6,-0.02244710922241211
1,9,-0.02240991592407204
1,9,-0.02235901355743408
1,8,-0.02215039730072
1,3,-0.02206468582153298
1,8,-0.02205383777618408
1,10,-0.02204751968383789
1,8,-0.0220334529876709
1,8,-0.0220334529876709
1,7,-0.02202594280242897
1,9,-0.02201199531555109
1,3,-0.02197253704071
1,7,-0.02185189723968506
1,7,-0.02185189723968506
1,7,-0.02185094356536798
1,6,-0.02184414863586404
1,11,-0.02183640003204301
1,11,-0.02183640003204301
1,6,-0.02173638343810991
1,7,-0.02164649963378906
1,7,-0.0212016105651851
1,8,-0.02118563652038508
1,6,-0.02112483978271396
1,6,-0.02112483978271396
1,6,-0.02112483978271396
1,6,-0.02112483978271396
1,6,-0.02112483978271396
1,6,-0.02112483978271396
0,26,-1.057403087615967
0,13,-1.027771949768066
0,25,-0.9929497241973873
0,14,-0.992614150047302
0,19,-0.98259425163269
0,9,-0.9695215225219722
0,13,-0.9568674564361572
0,8,-0.9473426342010488
0,23,-0.929573774337768
0,12,-0.8886392116546631
0,30,-0.8871911764144891
0,6,-0.8842235803604122
0,51,-0.873005628585815
0,9,-0.869576930999755
0,47,-0.8690264225006099
0,21,-0.826074481010437
0,9,-0.8235721588134761
0,6,-0.8218491077423091
0,10,-0.808762669563293
0,34,-0.795995712280273
0,7,-0.7819404602050781
0,36,-0.7472295761108391
0,8,-0.7172565460205069
0,25,-0.6833145618438721
0,8,-0.6158226728439331
0,18,-0.6046510934829712
0,10,-0.5981814861297601
0,9,-0.5894515514373779
0,25,-0.5667086839675899
0,21,-0.5620777606964111
0,16,-0.5563664436340332
0,30,-0.5534217357635489
0,66,-0.5182781219482422
0,27,-0.4816246032714839
0,34,-0.480547308921814
0,20,-0.452083826065063
0,31,-0.4474071264266961
0,27,-0.4440163373947139
0,36,-0.431918144226074
0,35,-0.4285827875137329
0,17,-0.4213545322418211
0,27,-0.4206467866897581
0,11,-0.4042534828186031
0,15,-0.3924157619476309
0,36,-0.3829258680343619
0,15,-0.3610434532165521
0,11,-0.3378962278366081
0,30,-0.3129264116287231
0,10,-0.3086091279983521
0,11,-0.299797415733337
0,4,-0.2905846834182739
0,20,-0.274883508682251
0,23,-0.2597148418426509
0,22,-0.2548717260360709
0,31,-0.253831148147583
0,9,-0.251970052719116
0,6,-0.235944271087646
0,5,-0.2283577919006341
0,12,-0.21813416481018
0,18,-0.2028837203979489
0,26,-0.1992142200469971
0,3,-0.1922690868377681
0,10,-0.1818274259567261
0,20,-0.1718480587005611
0,7,-0.1674312353134151
0,25,-0.1669901609420769
0,10,-0.1633999347686761
0,9,-0.1377691030502319
0,19,-0.136180996894836
0,30,-0.1324419975280759
0,12,-0.112380266189575
0,11,-0.110046744346618
0,28,-0.1099081039428711
0,5,-0.1077843904495239
0,15,-0.1055682897567749
0,11,-0.1000244617462149
0,16,-0.0924267768859861
0,12,-0.09200048446655207
0,9,-0.08673787117004395
0,10,-0.08570945262908891
0,19,-0.08314454555511408
0,18,-0.07709908485412598
0,3,-0.07652759552001909
0,21,-0.0727035999298089
0,8,-0.07245516777038508
0,26,-0.07242047786712602
0,64,-0.07131350040435791
0,9,-0.07102823257446289
0,10,-0.06952679157256991
0,5,-0.06870460510253906
0,15,-0.06870162487030007
0,12,-0.06844127178192094
0,9,-0.0679851770401001
0,13,-0.06755805015563897
0,5,-0.06717622280120805
0,49,-0.06716024875640803
0,3,-0.06651282310485795
0,20,-0.06645286083221391
0,7,-0.06589365005493097
0,4,-0.06583154201507503
0,14,-0.06497621536254794
0,8,-0.06454193592071489
0,10,-0.064275622367858
0,19,-0.0637959241867061
0,24,-0.06350302696228005
0,36,-0.062369585037231
0,3,-0.06148076057433993
0,35,-0.06072378158569292
0,4,-0.06051433086395198
0,4,-0.06051433086395198
0,20,-0.0601968765258789
0,77,-0.06011521816253596
0,15,-0.059439897537231
0,16,-0.05913567543029696
0,21,-0.05898773670196511
0,13,-0.05872344970703103
0,10,-0.05864810943603493
0,7,-0.05837476253509499
0,16,-0.05802679061889604
0,7,-0.05756807327270508
0,15,-0.05755293369293193
0,10,-0.05746936798095702
0,13,-0.05721879005432107
0,10,-0.05721509456634499
0,3,-0.0570204257965079
0,43,-0.0567651987075799
0,12,-0.05623328685760498
0,5,-0.05617809295654297
0,7,-0.05591571331024103
0,5,-0.05546796321868897
0,11,-0.05541145801544189
0,11,-0.05536663532256991
0,14,-0.05497026443481401
0,40,-0.05466091632842995
0,5,-0.05432248115539506
0,25,-0.05416595935821511
0,18,-0.05361473560333208
0,9,-0.05357408523559504
0,6,-0.05352139472961404
0,14,-0.05302095413208008
0,3,-0.05218195915222101
0,12,-0.05200719833374001
0,5,-0.05186986923217707
0,3,-0.05158209800720193
0,3,-0.05143737792968706
0,8,-0.05054306983947709
0,6,-0.05051505565643311
0,28,-0.05044102668762207
0,19,-0.050265312194824
0,7,-0.0495247840881341
0,6,-0.04943120479583697
0,3,-0.04877889156341508
0,5,-0.04872488975524902
0,3,-0.04819655418395996
0,5,-0.04815781116485597
0,14,-0.047735095024108
0,9,-0.047563195228576
0,20,-0.04755508899688698
0,14,-0.04750204086303711
0,3,-0.04725015163421609
0,10,-0.04677152633666992
0,9,-0.04654836654662997
0,3,-0.04649007320404008
0,3,-0.04649007320404008
0,3,-0.04649007320404008
0,8,-0.04640078544616698
0,6,-0.04553544521331698
0,9,-0.04538607597351008
0,5,-0.0453709363937369
0,3,-0.04508888721465998
0,4,-0.04492008686065607
0,4,-0.04492008686065607
0,4,-0.04492008686065607
0,4,-0.04492008686065607
0,18,-0.04489362239837602
0,16,-0.04463052749633789
0,5,-0.04459822177886896
0,4,-0.04437863826751709
0,3,-0.04434752464294388
0,6,-0.044269800186157
0,6,-0.04419279098510698
0,5,-0.04414129257202104
0,14,-0.04399061203002908
0,13,-0.04390799999236994
0,5,-0.04390347003936701
0,3,-0.04381680488586404
0,3,-0.0437182188034051
0,3,-0.04368960857391292
0,8,-0.04360485076904297
0,7,-0.04343295097351008
0,4,-0.04334664344787598
0,8,-0.04326808452606201
0,21,-0.04314315319061191
0,5,-0.0430488586425779
0,10,-0.04290974140167192
0,6,-0.0428879261016839
0,8,-0.04283654689788796
0,3,-0.04252278804779008
0,16,-0.04244494438171298
0,4,-0.04236805438995295
0,23,-0.04224383831024103
0,8,-0.04220521450042702
0,10,-0.0421977043151851
0,12,-0.04214370250701904
0,7,-0.04189956188201904
0,3,-0.04189503192901611
0,4,-0.04188907146453792
0,8,-0.04183852672576904
0,3,-0.04182291030883789
0,21,-0.04179966449737504
0,7,-0.04169201850891091
0,12,-0.04166603088378906
0,8,-0.0416479110717769
0,8,-0.04155743122100808
0,5,-0.04147756099700906
0,10,-0.04147672653198198
0,3,-0.04143130779266292
0,16,-0.04141402244567805
0,4,-0.04122996330261208
0,4,-0.04122996330261208
0,15,-0.04115319252014094
0,6,-0.04113483428954989
0,6,-0.04113483428954989
0,22,-0.04091012477874712
0,15,-0.0408743619918821
0,15,-0.04077076911926203
0,6,-0.0406879186630249
0,7,-0.04066801071166992
0,17,-0.04063916206359797
0,20,-0.04058229923248291
0,6,-0.04057967662811191
0,11,-0.04055666923522905
0,10,-0.04045248031616211
0,8,-0.04036068916320802
0,8,-0.04030036926269509
0,17,-0.04020988941192605
0,11,-0.04017341136932306
0,4,-0.04012763500213602
0,7,-0.04011750221252397
0,3,-0.04010629653930597
0,3,-0.04010629653930597
0,3,-0.04006278514861994
0,3,-0.04006278514861994
0,11,-0.03992438316345193
0,9,-0.03977668285369806
0,11,-0.03973650932312012
0,17,-0.03968524932861306
0,5,-0.03968143463134699
0,10,-0.03968024253845193
0,12,-0.03967452049255305
0,4,-0.03967106342315607
0,4,-0.03967106342315607
0,9,-0.03962790966033891
0,16,-0.03961515426635698
0,11,-0.03961443901062012
0,15,-0.03960871696472101
0,29,-0.03960204124450595
0,10,-0.03951919078826904
0,21,-0.03947889804839999
0,9,-0.03931975364684992
0,16,-0.03926479816436701
0,9,-0.03915667533874512
0,18,-0.03914821147918701
0,9,-0.03910744190215998
0,20,-0.03909754753112793
0,12,-0.03909528255462602
0,13,-0.03905057907104492
0,9,-0.03903436660766602
0,9,-0.03894174098968507
0,8,-0.03873538970947199
0,5,-0.03873324394226008
0,16,-0.03872537612914995
0,4,-0.03860068321228005
0,13,-0.03856885433196999
0,7,-0.038546442985534
0,6,-0.03849601745605402
0,6,-0.03849601745605402
0,19,-0.03846514225006104
0,5,-0.03843080997466997
0,15,-0.03833925724029497
0,12,-0.03825807571411111
0,9,-0.03824889659881592
0,16,-0.03819429874420099
0,9,-0.03819084167480402
0,15,-0.03806734085083008
0,8,-0.03796195983886697
0,5,-0.037925004959106
0,4,-0.03791129589080811
0,4,-0.03791129589080811
0,4,-0.03791129589080811
0,13,-0.037905693054199
0,6,-0.03784942626953103
0,7,-0.03783643245696999
0,14,-0.03782713413238503
0,7,-0.03782045841216997
0,9,-0.03779518604278498
0,7,-0.03773987293243408
0,14,-0.0376507043838501
0,10,-0.0374364852905269
0,3,-0.03740346431732089
0,6,-0.03739213943481401
0,14,-0.03735041618347101
0,6,-0.03729200363159092
0,8,-0.03726363182067805
0,10,-0.03713572025299006
0,10,-0.03712010383605889
0,3,-0.03709328174590998
0,8,-0.03706181049346902
0,11,-0.03694379329681397
0,13,-0.03688049316406206
0,7,-0.03678560256958008
0,7,-0.03678560256958008
0,7,-0.03678560256958008
0,9,-0.03673887252807595
0,5,-0.03665733337402298
0,5,-0.03665733337402298
0,4,-0.03662681579589799
0,6,-0.03661918640136697
0,3,-0.03656923770904497
0,15,-0.03655624389648393
0,7,-0.03652441501617409
0,5,-0.03641939163208008
0,6,-0.03640234470367409
0,6,-0.03640234470367409
0,6,-0.03640234470367409
0,6,-0.03640234470367409
0,4,-0.03635406494140603
0,4,-0.03629302978515603
0,25,-0.03620147705078103
0,13,-0.036171555519104
0,8,-0.03614604473113992
0,7,-0.03613781929016091
0,17,-0.03611063957214311
0,7,-0.03608214855194092
0,9,-0.03602099418640092
0,11,-0.03597009181976296
0,15,-0.0359112024307251
0,10,-0.03587388992309504
0,5,-0.03577327728271396
0,6,-0.03577244281768799
0,19,-0.035730600357055
0,7,-0.03569865226745605
0,8,-0.03567135334014893
0,6,-0.0356059074401851
0,6,-0.0356059074401851
0,6,-0.0356059074401851
0,10,-0.03558719158172607
0,10,-0.035544753074646
0,8,-0.0355337858200071
0,8,-0.0355337858200071
0,8,-0.0355337858200071
0,12,-0.03547167778015092
0,4,-0.03541088104248002
0,4,-0.03541088104248002
0,8,-0.03539192676544189
0,9,-0.03536391258239702
0,5,-0.03535759449005105
0,15,-0.03534364700317294
0,12,-0.03533399105071998
0,8,-0.0353312492370601
0,7,-0.03529512882232599
0,6,-0.03528761863708496
0,9,-0.0352836847305289
0,8,-0.03527247905731201
0,18,-0.03526020050048806
0,14,-0.03522408008575395
0,22,-0.03494918346405007
0,20,-0.03492093086242608
0,11,-0.03489935398101806
0,11,-0.03487515449523904
0,10,-0.03484404087066606
0,11,-0.03483688831329301
0,6,-0.03479361534118608
0,14,-0.03476023674011208
0,9,-0.03474056720733598
0,14,-0.03473365306854204
0,4,-0.03467917442321712
0,9,-0.03465187549590998
0,11,-0.03460526466369607
0,17,-0.0345684289932251
0,8,-0.03456199169158891
0,7,-0.03455781936645508
0,13,-0.03451895713806108
0,4,-0.03450763225555398
0,10,-0.03450405597686701
0,10,-0.03447294235229492
0,19,-0.03443264961242608
0,20,-0.03438401222229004
0,23,-0.03436923027038508
0,8,-0.03434550762176492
0,9,-0.0343320369720459
0,8,-0.03432250022888095
0,7,-0.03431129455566406
0,5,-0.03429615497589111
0,5,-0.03420722484588602
0,10,-0.03415465354919388
0,4,-0.03405165672302202
0,10,-0.03402352333068803
0,9,-0.03394162654876709
0,13,-0.03393709659576394
0,5,-0.03391027450561501
0,12,-0.03386270999908403
0,5,-0.03385257720947199
0,5,-0.03385257720947199
0,7,-0.03384411334991412
0,7,-0.03384411334991412
0,7,-0.03384411334991412
0,4,-0.033785820007324
0,6,-0.03377866744995095
0,14,-0.0337661504745479
0,6,-0.03376388549804599
0,5,-0.03373908996582009
0,5,-0.03373908996582009
0,4,-0.03370606899261408
0,14,-0.03354775905609109
0,11,-0.03350281715393
0,13,-0.03348469734191895
0,11,-0.03347325325012207
0,6,-0.03340744972229004
0,11,-0.03339064121246293
0,7,-0.03335177898406894
0,12,-0.03332090377807595
0,6,-0.03331351280212402
0,6,-0.03331351280212402
0,8,-0.03319883346557595
0,21,-0.03317975997924805
0,9,-0.03317701816558793
0,11,-0.03315782546997004
0,8,-0.033103227615356
0,6,-0.03309369087219194
0,6,-0.03309369087219194
0,8,-0.03308606147766091
0,13,-0.03308093547821001
0,14,-0.0330390930175779
0,11,-0.03303766250610307
0,9,-0.03297984600067094
0,8,-0.03297758102416992
0,12,-0.03291356563568093
0,11,-0.03290843963623002
0,6,-0.03277945518493608
0,6,-0.03277945518493608
0,9,-0.03272128105163508
0,9,-0.032676100730896
0,7,-0.03267431259155207
0,10,-0.0326591730117789
